available_ingredients,recipe_name,recipe_ingredients,instructions,
"Raw Banana, Besan Flour, Rice Flour",Vazhakkai Bajji,"Raw banana slices, besan, rice flour, salt, spices",Dip banana slices in spiced batter and deep-fry.,
"Bottle Gourd, Jaggery, Cardamom",Sorakkai Halwa,"Bottle gourd, jaggery, ghee, cardamom, milk","Grate bottle gourd, cook with jaggery and milk until thick. Add ghee.",
"Green Gram, Coconut, Jaggery",Pasi Paruppu Payasam,"Green gram, coconut milk, jaggery, cardamom","Cook green gram, add coconut milk and jaggery. Boil until thick.",
"Ridge Gourd, Coconut, Green Chilies",Peerkangai Kootu,"Ridge gourd, coconut, green chilies, mustard seeds",Cook ridge gourd with coconut and green chilies. Add tempered mustard seeds.,
"Drumstick Leaves, Dal, Coconut",Murungai Keerai Poriyal,"Drumstick leaves, toor dal, coconut, mustard seeds",Cook drumstick leaves with dal and coconut. Temper with mustard seeds.,
"Foxtail Millet, Moong Dal, Pepper, Cumin",Thinai Pongal (Foxtail Millet Pongal),"Foxtail millet, moong dal, black pepper, cumin, curry leaves, ghee","Cook millet and dal. Temper with pepper, cumin, and curry leaves in ghee.",
"Ragi Flour, Jaggery, Cardamom",Ragi Malt,"Ragi flour, jaggery, cardamom, milk or water","Mix ragi flour in water, cook with jaggery, and add cardamom. Serve warm.",
"Ragi Flour, Buttermilk, Green Chilies",Ragi Koozh (Finger Millet Porridge),"Ragi flour, buttermilk, green chilies, salt",Ferment ragi flour overnight. Mix with buttermilk and season with green chilies. Serve chilled.,
"Horse Gram, Garlic, Tamarind",Kollu Rasam (Horse Gram Soup),"Horse gram, garlic, tamarind, cumin, pepper, mustard seeds","Boil horse gram, strain water, and season with spices. Serve hot.",
"Barnyard Millet, Vegetables",Kuthiraivali Upma (Barnyard Millet Upma),"Barnyard millet, onion, carrot, beans, mustard seeds","Sauté mustard seeds and vegetables, add millet, cook until soft.",
"Jowar Flour, Onion, Green Chilies",Jowar Roti,"Jowar flour, water, salt, onion, green chilies","Mix flour with water, make rotis, cook on a tawa.",
"Kambu (Pearl Millet), Curd",Kambu Koozh (Pearl Millet Porridge),"Kambu (pearl millet), curd, salt","Cook kambu, ferment overnight, mix with curd, and serve.",
"Sprouted Green Gram, Coconut",Pachai Payaru Sundal,"Sprouted green gram, coconut, mustard seeds, curry leaves","Sauté mustard seeds, add green gram and coconut. Stir-fry lightly.",
"Amla, Honey",Nellikai Juice (Gooseberry Juice),"Fresh gooseberries (Amla), honey, salt","Blend amla, strain juice, and mix with honey. Serve fresh.",
"Drumstick Leaves, Toor Dal",Murungai Keerai Sambar (Drumstick Leaves Sambar),"Toor dal, drumstick leaves, tamarind, sambar powder, mustard seeds","Cook dal, add tamarind and spices. Mix with drumstick leaves and serve.",
"Spinach, Coconut, Green Chilies",Keerai Masiyal (Spinach Mash),"Spinach, coconut, green chilies, garlic","Boil spinach, blend with coconut, and season with green chilies.",
"Banana Stem, Green Gram, Coconut",Vazhai Thandu Poriyal (Banana Stem Stir-fry),"Banana stem, green gram, coconut, mustard seeds","Cook banana stem and green gram, season with mustard and coconut.",
"Karuppu Ulundu (Black Urad Dal), Garlic, Coconut",Karuppu Ulundu Kali (Black Gram Pudding),"Black urad dal, jaggery, coconut, sesame oil","Roast dal, grind, cook with jaggery and coconut. Serve warm.",
"Broken Wheat, Moong Dal, Vegetables",Gothumai Pongal (Wheat Pongal),"Broken wheat, moong dal, black pepper, cumin, curry leaves","Cook wheat and dal, season with tempered spices.",
"Foxtail Millet, Jaggery, Coconut",Thinai Payasam (Foxtail Millet Dessert),"Foxtail millet, jaggery, coconut milk, cardamom",Cook millet with coconut milk and jaggery. Garnish with cardamom.,
"Jackfruit, Jaggery, Cardamom",Palapazham Halwa (Jackfruit Halwa),"Ripe jackfruit, jaggery, ghee, cardamom",Cook jackfruit with jaggery and ghee. Stir until thick.,
"Bitter Gourd, Tamarind, Turmeric",Pavakkai Pitlai (Bitter Gourd Curry),"Bitter gourd, tamarind, toor dal, coconut, mustard seeds","Cook bitter gourd with tamarind and dal, season with coconut and spices.",
"Raw Banana, Green Gram",Vazhakkai Podimas (Raw Banana Stir-fry),"Raw banana, green gram, coconut, green chilies","Boil banana, mash with coconut and chilies. Stir-fry lightly.",
"Red Rice, Coconut, Green Chilies",Red Rice Upma,"Red rice, coconut, mustard seeds, curry leaves",Cook red rice and season with coconut and green chilies.,
"Curry Leaves, Sesame Seeds, Tamarind",Karuveppilai Kuzhambu (Curry Leaf Gravy),"Curry leaves, tamarind, sesame seeds, mustard seeds","Blend curry leaves and sesame, cook with tamarind, and temper with mustard seeds.",
"Sesame Seeds, Jaggery, Coconut",Ellu Urundai (Sesame Jaggery Balls),"Sesame seeds, jaggery, coconut","Roast sesame, grind with jaggery and shape into balls.",
"Bottle Gourd, Moong Dal, Coconut",Sorakkai Kootu (Bottle Gourd Dal),"Bottle gourd, moong dal, coconut, mustard seeds","Cook bottle gourd with dal and coconut, temper with mustard seeds.",
"Broad Beans, Coconut, Mustard Seeds",Avarakkai Poriyal,"Broad beans, coconut, mustard seeds, green chilies, curry leaves","Heat oil in a pan, add mustard seeds, curry leaves, and green chilies. Add chopped broad beans and sauté for a few minutes. Cover and cook until soft, then add grated coconut and mix well before serving.",
"Banana Stem, Pepper, Garlic",Vazhai Thandu Soup,"Banana stem, garlic, pepper, salt, cumin","Chop banana stem finely and soak in water. Sauté garlic and cumin in oil, add banana stem, and cook with water until soft. Blend smoothly, season with salt and pepper, and serve hot.",
"Fenugreek Seeds, Rice, Coconut Milk",Vendhaya Kanji,"Fenugreek seeds, raw rice, coconut milk, jaggery, cardamom","Cook rice and fenugreek seeds in water until soft, then add coconut milk and let it simmer. Sweeten with jaggery, flavor with cardamom, and serve warm.",
"Chickpeas, Green Gram, Black Urad Dal",Navadhanya Sundal,"Mixed legumes, coconut, mustard seeds, curry leaves","Soak legumes overnight and boil until soft. Heat oil, add mustard seeds, curry leaves, and cooked legumes. Mix well, add coconut, and serve warm.",
"Thuthuvalai Leaves, Pepper, Garlic",Thuthuvalai Rasam,"Thuthuvalai leaves, tamarind, garlic, pepper, cumin","Boil tamarind water with crushed thuthuvalai leaves, garlic, pepper, and cumin. Simmer for a few minutes and serve hot with rice.",
"Raw Rice, Toor Dal, Garlic",Arisi Paruppu Sadam,"Rice, toor dal, garlic, cumin, red chilies, turmeric","Wash rice and toor dal, cook together with garlic, cumin, turmeric, and red chilies in a pressure cooker until soft. Mix well and serve with ghee.",
"Ragi, Jowar, Foxtail Millet, Urad Dal",Sirudhaniya Adai,"Mixed millet flours, urad dal, curry leaves, green chilies","Grind urad dal with water and mix with millet flours. Add salt, curry leaves, and green chilies. Pour batter on a tawa, cook both sides until crispy, and serve.",
"Amaranth Leaves, Moong Dal, Coconut",Siru Keerai Kootu,"Amaranth leaves, moong dal, coconut, green chilies, mustard seeds","Cook moong dal with turmeric, then add chopped amaranth leaves and let it soften. Grind coconut with green chilies, mix in, and season with mustard seeds before serving.",
"Sprouted Moong, Carrot, Cucumber, Lemon",Sprouted Moong Salad,"Sprouted moong, grated carrot, cucumber, lemon juice, salt, pepper","Mix all ingredients, toss well, and serve fresh.",
"Oats, Almonds, Banana, Honey",Oats Banana Smoothie,"Oats, banana, almonds, honey, milk",Blend all ingredients until smooth. Serve chilled.,
"Quinoa, Spinach, Garlic, Olive Oil",Quinoa Spinach Bowl,"Quinoa, spinach, garlic, olive oil, salt, black pepper","Cook quinoa, sauté spinach in olive oil with garlic, mix, and serve warm.",
"Ragi, Almond Milk, Jaggery, Cardamom",Ragi Almond Porridge,"Ragi flour, almond milk, jaggery, cardamom","Cook ragi in almond milk, add jaggery and cardamom, and stir well. Serve warm.",
"Chia Seeds, Yogurt, Berries, Honey",Chia Yogurt Parfait,"Chia seeds, yogurt, mixed berries, honey","Soak chia seeds in yogurt overnight, layer with berries, drizzle honey, and serve.",
"Brown Rice, Lentils, Cucumber, Tomato",Brown Rice Salad,"Brown rice, cooked lentils, cucumber, tomato, lemon juice, olive oil","Mix cooked rice and lentils with veggies, drizzle lemon juice and olive oil.",
"Millets, Almonds, Dates, Coconut",Millet Energy Balls,"Mixed millet flour, almonds, dates, coconut, honey","Blend into a dough, roll into balls, and refrigerate.",
"Avocado, Whole Wheat Bread, Lemon",Avocado Toast,"Whole wheat bread, avocado, lemon, salt, black pepper","Mash avocado, mix with lemon juice, salt, and pepper. Spread on toast.",
"Barley, Buttermilk, Salt, Coriander",Barley Buttermilk Drink,"Barley, buttermilk, salt, coriander","Cook barley, cool it, mix with buttermilk, add salt and coriander.",
"Moringa Leaves, Lemon, Honey",Moringa Detox Drink,"Moringa leaves, water, lemon juice, honey","Boil moringa leaves, strain, add lemon juice and honey. Serve warm.",
"Beetroot, Coconut, Curd",Beetroot Pachadi,"Grated beetroot, coconut, curd, green chilies","Steam beetroot, blend with coconut, mix with curd.",
"Kodo Millet, Carrot, Beans",Varagu Pongal,"Kodo millet, moong dal, black pepper, cumin, ginger","Cook millet and dal, season with black pepper, cumin, ginger.",
"Almonds, Dates, Figs",Dry Fruit Ladoo,"Almonds, dates, figs, sesame seeds","Blend into a dough, roll into balls, store.",
"Barley, Cucumber, Lemon",Barley Cucumber Juice,"Barley water, cucumber, lemon, salt","Blend everything, serve chilled.",
"Papaya, Yogurt, Mint",papaya yogurt smoothie,"Papaya, yogurt, mint leaves, honey",Blend and serve chilled.,
"Broccoli, Almonds, Garlic",Broccoli Almond Soup,"Broccoli, almonds, garlic, black pepper","Steam broccoli, blend with garlic and almonds, season, and serve warm.",
"Wheat Dosa Batter, Vegetables",Wheat Vegetable Dosa,"Wheat dosa batter, onion, tomato, carrot","Mix vegetables into batter, make dosas.",
"Paneer, Spinach, Garlic",Palak Paneer,"Paneer, spinach, garlic, turmeric","Sauté garlic, blend with spinach, cook with paneer.",
"Cabbage, Green Peas, Coconut",Cabbage Poriyal,"Cabbage, green peas, coconut, mustard seeds","Sauté all ingredients, serve.",
"Bitter Gourd, Tamarind, Jaggery",Pavakkai Puli Kuzhambu,"Bitter gourd, tamarind, jaggery, curry leaves","Cook bitter gourd with tamarind, add jaggery, season.",
"Barnyard Millet, Moong Dal, Curry Leaves",Kuthiraivali Pongal,"Barnyard millet, moong dal, black pepper, cumin, ginger","Cook millet and dal, season with spices, and serve warm.",
"Watermelon, Mint, Lemon",Watermelon Mint Cooler,"Watermelon juice, mint leaves, lemon juice",Blend everything and serve chilled.,
"Ridge Gourd, Green Gram, Coconut",Ridge Gourd Chutney,"Ridge gourd, green gram, coconut, green chilies","Sauté ridge gourd, blend with coconut and spices.",
"Brown Rice, Fenugreek Seeds, Jaggery",Vendhaya Dosai,"Brown rice, fenugreek seeds, jaggery, urad dal","Ferment batter, make dosas, serve with chutney.",
"Sweet Potato, Jaggery, Coconut",Sakkaravalli Kizhangu Pudding,"Sweet potato, jaggery, coconut, cardamom","Cook sweet potato, mash with jaggery and coconut.",
"Ragi, Urad Dal, Fenugreek",Ragi Idli,"Ragi flour, urad dal, fenugreek seeds","Ferment batter, steam idlis, serve with chutney.",
"Cucumber, Lemon, Honey",Cucumber Detox Water,"Cucumber, lemon juice, honey, mint leaves",Mix ingredients in water and drink fresh.,
"Chickpea Flour, Buttermilk, Curry Leaves",Kadalai Maavu Mor Kuzhambu,"Chickpea flour, buttermilk, curry leaves, mustard seeds","Mix chickpea flour with buttermilk, cook with spices.",
"Sprouted Fenugreek, Lemon, Honey",Sprouted Vendhaya Juice,"Sprouted fenugreek, lemon juice, honey",Blend ingredients and serve chilled.,
"Milk, Ragi, Jaggery",Ragi Malt,"Ragi flour, milk, jaggery, cardamom","Mix ragi flour with water, boil milk separately, add ragi paste, stir, and sweeten with jaggery. Serve warm.",
"Milk, Almonds, Dates",Badam Milk,"Almonds, dates, milk, saffron","Soak almonds, peel, and blend with dates. Boil milk, add almond paste and saffron, stir, and serve warm.",
"Milk, Cardamom, Rose Syrup",Rose Milk,"Cold milk, rose syrup, sugar, cardamom","Mix rose syrup and cardamom with cold milk, stir well, and chill before serving.",
"Milk, Saffron, Pistachios",Kesar Pista Milk,"Milk, saffron, pistachios, sugar","Soak saffron in warm milk, add crushed pistachios, boil for 5 minutes, and serve warm or chilled.",
"Milk, Banana, Honey",Banana Milkshake,"Banana, chilled milk, honey, cardamom","Blend all ingredients until smooth and creamy, then serve cold.",
"Milk, Mango, Cardamom",Mango Milkshake,"Ripe mango, chilled milk, cardamom, sugar","Blend mango and milk with sugar, sprinkle cardamom powder, and serve cold.",
"Milk, Cocoa Powder, Honey",Chocolate Milkshake,"Cocoa powder, milk, honey, vanilla extract","Blend cocoa powder with chilled milk and honey, add vanilla, and serve chilled.",
"Milk, Chia Seeds, Honey",Chia Seed Pudding,"Chia seeds, milk, honey, vanilla essence","Soak chia seeds in milk overnight, add honey and vanilla, and serve chilled.",
"Milk, Paneer, Nuts",Paneer Kheer,"Grated paneer, milk, sugar, nuts","Boil milk, add paneer and nuts, stir well, and simmer for 10 minutes before serving.",
"Milk, Jaggery, Foxtail Millet",Millet Payasam,"Foxtail millet, jaggery, milk, cashews","Cook millet in water, add milk, stir, and sweeten with jaggery before serving.",
"Milk, Coconut, Rice Flour",Thengai Paal Kozhukattai,"Rice flour, coconut milk, jaggery, cardamom","Prepare rice flour dumplings, cook in coconut milk, and sweeten with jaggery.",
"Milk, Cardamom, Poha",Aval Paal,"Poha (flattened rice), warm milk, cardamom, nuts","Soak poha in milk, add cardamom, stir, and garnish with nuts.",
"Milk, Fig, Dates",Fig & Date Milkshake,"Figs, dates, milk, almonds","Soak figs and dates, blend with milk and almonds, and serve chilled.",
"Milk, Cashew, Saffron",Cashew Kheer,"Cashews, milk, saffron, sugar","Blend soaked cashews into a paste, cook in milk, add saffron and sugar, and simmer.",
"Milk, Pumpkin, Jaggery",Pumpkin Kheer,"Pumpkin puree, milk, jaggery, nuts","Cook pumpkin puree, add milk and jaggery, and simmer until thick. Garnish with nuts.",
"Milk, Banana, Ragi Flour",Ragi Banana Pancakes,"Ragi flour, mashed banana, milk, honey","Mix ingredients into a batter, cook on a hot pan, flip, and serve warm.",
"Milk, Whole Wheat Flour, Honey",Wheat Pancakes,"Whole wheat flour, milk, honey, vanilla extract","Mix ingredients into a batter, cook pancakes on a skillet, and serve warm.",
"Milk, Chikoo, Jaggery",  jaggery chickoo milkshake,"Chikoo (sapota), milk, jaggery, cardamom","Blend chikoo with milk and jaggery, add cardamom, and serve chilled.",
"Milk, Tender Coconut, Honey",Tender Coconut Milkshake,"Tender coconut, milk, honey, ice cubes","Blend chikoo with milk and jaggery, add cardamom, and serve chilled.",
"Chicken, Pepper, Garlic",Pepper Chicken," Chicken, black pepper, garlic, onions, curry leaves, ginger, turmeric, green chilies","Marinate chicken with turmeric, salt, and ginger-garlic paste for 30 minutes. Heat oil, sauté onions, garlic, and curry leaves. Add marinated chicken and cook until half done. Add black pepper, green chilies, and garam masala. Stir well and cook until the chicken is tender. Garnish with fresh coriander and serve hot.","Marinate chicken with turmeric, salt, and ginger-garlic paste for 30 minutes. Heat oil, sauté onions, garlic, and curry leaves. Add marinated chicken and cook until half done. Add black pepper, green chilies, and garam masala. Stir well and cook until the chicken is tender. Garnish with fresh coriander and serve hot."
"Mutton, Spices, Yogurt",Mutton Sukka,"Mutton, dry spices, yogurt, curry leaves, onions, garlic, fennel seeds","Marinate mutton with yogurt, turmeric, and chili powder for 1 hour. Heat oil, add fennel seeds, onions, and garlic, sauté until golden. Add marinated mutton and cook until brown. Add little water and slow cook until mutton becomes tender. Stir-fry until dry and serve hot with rice or parotta.",
"Fish, Tamarind, Turmeric",Meen Kuzhambu,"Fish, tamarind, onions, tomatoes, mustard seeds, garlic, red chili powder, curry leave","Soak tamarind in warm water and extract pulp. Heat oil, add mustard seeds, onions, and garlic, sauté until golden. Add tomatoes, chili powder, turmeric, and tamarind extract. Simmer for 10 minutes, then add fish pieces. Cook on medium heat for 10 minutes until fish is done. Garnish with curry leaves and serve with rice.",
"Prawns, Coconut, Curry Leaves",Eral Thokku,"Prawns, coconut paste, onions, tomatoes, curry leaves, mustard seeds, green chilies","Heat oil, add mustard seeds, onions, and curry leaves, sauté until soft. Add tomatoes, green chilies, and cook until mushy. Add prawns and mix well with spices. Cook for 5-7 minutes until prawns turn pink and tender. Stir in coconut paste and simmer for a few minutes. Serve hot with steamed rice or chapati.",
"Crab, Pepper, Ginger",Nandu Rasam,"Crab, black pepper, ginger, tomatoes, coriander, tamarind, garlic","Clean the crabs and cut them into halves. Heat oil, add crushed pepper, ginger, and garlic, sauté well. Add chopped tomatoes and tamarind extract. Pour water and bring to a boil. Add crab pieces and simmer for 15 minutes until flavors infuse. Garnish with coriander leaves and serve hot as soup or with rice.",
"Dry Fish, Onion, Tamarind",Karuvadu Kuzhambu,"Dry fish, onions, tamarind, tomatoes, garlic, red chili powder","Soak dry fish in warm water for 10 minutes to remove excess salt. Heat oil, add mustard seeds, onions, garlic, and curry leaves, sauté well. Add chopped tomatoes and chili powder. Pour in tamarind extract and bring to a boil. Add soaked dry fish and cook for 15 minutes. Serve hot with rice and appalam.",
"Egg, Spices, Onion",Egg Masala,"Eggs, onions, tomatoes, garam masala, green chilies, turmeric","Boil eggs, peel and make small cuts on them. Heat oil, sauté onions and green chilies until golden. Add tomatoes, turmeric, garam masala, and mix well. Add boiled eggs and coat them with masala. Cook for 5 minutes and garnish with coriander. Serve with chapati or rice.",
"Egg, Black Pepper, Milk",Egg Pepper Soup,"Eggs, black pepper, milk, garlic, curry leaves, turmeric",Boil milk with crushed garlic and curry leaves. Beat eggs and slowly add them to the boiling milk while stirring continuously. Add black pepper and a pinch of turmeric. Simmer for 5 minutes and serve hot.,
"Mutton, Bones, Garlic",Mutton Bone Soup,"Mutton bones, garlic, pepper, shallots, coriander leaves","Heat oil, add crushed garlic, shallots, and pepper, sauté well. Add mutton bones and fry for 2 minutes. Pour in water and simmer for 1 hour. Add salt and coriander leaves. Strain and serve hot.",
"Fish, Coconut, Curry Leaves",Fish Fry,"Fish, turmeric, red chili powder, curry leaves, lemon juice","Clean fish and marinate with turmeric, chili powder, and salt for 30 minutes. Heat oil and shallow fry the fish until crispy. Garnish with curry leaves and lemon wedges.",
"Chicken, Butter, Tomatoes",Butter Chicken,"Chicken, butter, tomato puree, cream, cashews, garam masala","Marinate chicken with yogurt, turmeric, and chili powder. Grill or pan-fry the chicken. In a separate pan, cook tomato puree with butter, cashews, and garam masala. Add grilled chicken and simmer. Stir in cream and serve hot.",
"Mutton, Wheat Flour, Spices",Mutton Kothu Parotta,"Shredded parotta, mutton curry, eggs, onion",Toss shredded parotta pieces in mutton curry with eggs and onions. Stir-fry until well combined. Serve hot.,
"Fish, Banana Leaf, Spices",Meen Pollichathu,"Fish, banana leaf, coconut, red chili","Marinate fish in spices, wrap in banana leaf, and grill until cooked through.",
"Prawns, Rice Flour, Coconut",Prawn Idiyappam,"Rice flour, prawns, coconut milk","steam rice noodles,serve with prawn coconut gravy",
"Crab, Tamarind, Garlic",nandu masala,"Crab, tamarind, garlic, pepper","Cook crab with tamarind, garlic, and pepper masala until tender.",
"Chicken, Yogurt, Spices",Chicken Shawarma,"Boneless chicken, yogurt, garlic, cumin, paprika, pita bread, lemon juice, olive oil, black pepper","1. Marinate boneless chicken with yogurt, garlic, cumin, paprika, lemon juice, salt, and black pepper for at least 2 hours. 2. Heat a pan with olive oil and grill the marinated chicken until cooked through. 3. Slice the chicken into thin strips. 4. Warm pita bread and add garlic sauce, lettuce, tomatoes, and onion slices. 5. Add the sliced chicken, roll tightly, and serve with hummus or yogurt sauce.",
"Mutton, Ghee, Spices",Mutton Ghee Roast,"Mutton, ghee, red chili paste, curry leaves, ginger, garlic, garam masala, turmeric","1. Marinate mutton with turmeric, red chili paste, ginger-garlic paste, and salt for 1 hour. 2. Heat ghee in a pan, add curry leaves, and sauté until aromatic. 3. Add marinated mutton and cook on medium flame for 10 minutes. 4. Pour water, cover, and simmer for 40-45 minutes until mutton becomes tender. 5. Open the lid, roast the mutton in remaining ghee, and cook until it turns dry. 6. Serve hot with rice or roti.",
"Mutton, Coconut, Dry Chili",Mutton Varuval,"Mutton, coconut paste, shallots, dry red chili, turmeric, black pepper","1. Marinate mutton with turmeric and salt for 30 minutes. 2. Heat oil, add shallots, dry red chili, and sauté until fragrant. 3. Add marinated mutton, cover, and cook on low heat for 40 minutes, stirring occasionally. 4. Stir in coconut paste, cook until dry and crispy. 5. Serve hot with rice or dosa.",
"Chicken, Yogurt, Spices",Chicken Tikka,"Boneless chicken, yogurt, lemon juice, red chili powder, turmeric, garam masala, ginger-garlic paste","1. Marinate chicken with yogurt, lemon juice, chili powder, turmeric, garam masala, and ginger-garlic paste for 2 hours. 2. Skewer the chicken and grill in an oven or on a tawa until golden brown. 3. Serve hot with mint chutney.",
"Chicken, Lemon, Pepper",Lemon Pepper Chicken,"Chicken breast, black pepper, lemon juice, garlic, olive oil","1. Marinate chicken with lemon juice, crushed black pepper, garlic, and salt for 30 minutes. 2. Heat oil in a pan, grill chicken on medium flame until cooked through. 3. Serve with steamed vegetables.",
"Chicken, Rice, Spices",Chicken Biryani,"Basmati rice, chicken, yogurt, saffron, onions, tomatoes, garam masala","1. Marinate chicken with yogurt, turmeric, and garam masala for 1 hour. 2. Cook onions and tomatoes in ghee, add chicken, and cook until tender. 3. Layer half-cooked basmati rice over chicken, sprinkle saffron water, and cook on dum for 20 minutes. 4. Serve hot with raita.",
"Chicken, Tamarind, Curry Leaves",Madurai Chicken Curry,"Chicken, tamarind, curry leaves, onions, tomatoes, dry red chilies","1. Heat oil, add dry red chilies and curry leaves. 2. Sauté onions and tomatoes, add tamarind extract and cook well. 3. Add chicken pieces and simmer for 30 minutes. 4. Serve with rice or chapati.",
"Chicken, Green Chilies, Spices",Andhra Chili Chicken,"Chicken, green chilies, curry leaves, mustard seeds, black pepper","1. Marinate chicken with black pepper, turmeric, and salt. 2. Heat oil, add mustard seeds, green chilies, and curry leaves. 3. Add chicken and cook until crispy and golden brown. 4. Serve with hot rice.",
"Chicken, Curd, Spices",Hyderabadi Chicken 65,"Boneless chicken, curd, ginger-garlic paste, red chili paste, curry leaves","1. Marinate chicken with curd, red chili paste, and ginger-garlic paste for 1 hour. 2. Deep fry until crispy. 3. Toss with fried curry leaves and serve hot.",
"Chicken, Cashews, Spices",Kaju Chicken Masala,"Chicken, cashew paste, tomatoes, garam masala, butter","1. Heat butter, add chopped onions and cook until golden. 2. Add tomato puree, spices, and cook until oil separates. 3. Stir in cashew paste and mix well. 4. Add chicken, cook until soft and tender. 5. Serve hot with naan or rice.",
"Chicken, Corn Flour, Egg",Crispy Fried Chicken,"Chicken drumsticks, corn flour, egg, black pepper, breadcrumbs","1. Marinate chicken with salt, black pepper, and egg. 2. Coat in corn flour and breadcrumbs. 3. Deep fry until crispy and golden. 4. Serve hot with ketchup or mayo.",
"Chicken, Green Peppers, Sauce",Dragon Chicken,"Chicken, soy sauce, bell peppers, red chilies, sesame seeds",1. Marinate chicken in soy sauce and chili paste for 30 minutes. 2. Stir-fry in a wok with bell peppers and sesame seeds. 3. Serve with fried rice.,
"Chicken, Basil, Soy Sauce",Thai Basil Chicken,"Chicken, soy sauce, oyster sauce, basil leaves, garlic","1. Heat oil, sauté garlic until fragrant. 2. Add chicken and stir-fry. 3. Pour soy sauce and oyster sauce, cook for 5 minutes. 4. Add fresh basil leaves, mix well. 5. Serve with steamed rice.",
